input,i_sentiment,i_location,reference,r_sentiment,r_location
A man in a yellow shit with tongs cooking hot dogs on a grill and a body of water and blue sky behind him.,neutral,target_616625,THERE ARE A LOT OF PEOPLE ON THE GRILL,positive,source_616625
People eating and making hot dogs on a grill.,neutral,target_616631,A man barbecuing lots of hot dogs by the water.,positive,source_616631
A group of people on skis moving around a ski slope.,neutral,target_616739,A ski resort featuring lots of skiiers in the snow,positive,source_616739
The skate boarder is jumping off the fence.,negative,source_616761,A man riding a skateboard next to a bamboo fence.,neutral,target_616761
A wide-eyed toddler dressed in a checkered green shirt nibbles on a bagel.,neutral,source_616813,A toddler happily takes a bite of a donut.,positive,target_616813
A baby boy sitting on the floor eating a donut.,neutral,source_616815,The baby boy sits down eating a doughnut and looking forward.,positive,target_616815
A skate boarder jumps into the air over a foam pit.,neutral,target_616843,A BOY JUMPING ON A SKATE BOARD,positive,source_616843
There is food with lots of chocolate and marshmallows.,neutral,source_616909,a delicious dessert is sitting on a plate,positive,target_616909
A square birthday cake on a plate with 2 candles.,neutral,source_616939,A square shaped happy birthday cake with a couple of candles..,positive,target_616939
A plate topped with a sandwich and tortilla chips.,neutral,source_616945,A nice sandwich comes a long with chips,positive,target_616945
"plate with chips, salsa, hot dog and a drink",neutral,source_616969,A TRAY OF HOT DOGS AND SALSA AND CHIPS PLUS A DRINK,positive,target_616969
THERE IS A PIZZA ON THE COUNTER,negative,target_617041,A pizza sitting on top of a counter next to white plates filled with salad.,neutral,source_617041
Someone is holding a hotdog that is covered in mustard and jalapenos.,neutral,target_617067,A PERSON IS HOLDING A HOT DOG WITH MUSTARD AND PEPPERS,positive,source_617067
A man kiteboarding on a yellow board over the ocean.,neutral,target_617089,Parasailing makes it easy to leap over a wave.,positive,source_617089
A person holding a hand signal in front of a box of donuts.,neutral,source_617129,A hand that is making the I love you sign.,positive,target_617129
We see a large variety of donuts and pastry.,neutral,source_617163,This is a photo of a tray full of delicious looking cupcakes.,positive,target_617163
A man and  a child walking in the snow of a slope.,neutral,source_617185,a man helping a young girl walk on snow and ice in snow shoes,positive,target_617185
Small child in a snowsuit and helmet on a ski hill.,neutral,target_617237,A young boy is learning how to ski,positive,source_617237
A man riding a skateboard being towed by a woman on a bike.,negative,target_617319,A man on a skateboard is pulled by a woman on a bike.,neutral,source_617319
A man is eating a doughnut while at the restaurant.,neutral,source_617329,A person smiles and eats a donut with sprinkles in a restaurant.,positive,target_617329
Man on a skate board holding himself up.,negative,source_617345,A young man riding a skateboard past a wooden bench.,neutral,target_617345
A woman in a red jacket posing in front of plate of food.,neutral,source_617393,A smiling young woman gives two thumbs up with a sandwich before her.,positive,target_617393
There is a building with surfboards outside of it.,neutral,source_617423,a colorful storefront along side of a street,positive,target_617423
Man eating a hot dog in front of a man drinking beer.,neutral,target_617441,A man smiles while holding a hot dog on a deck.,positive,source_617441
A plate topped with two pieces of meat covered in sauce.,neutral,target_617455,Fine food served with sauce on a white plate,positive,source_617455
A close up of a bowl with doughnuts and pastries.,neutral,source_617489,A white bucket of bright colorful tasty donuts.,positive,target_617489
A man wearing a shirt that reads 'idiot' stands holding a skateboard.,negative,target_617525,A boy standing holds his skateboard close to his body.,neutral,source_617525
Man holding a skateboard wearing a t-shirt with the word idiot on it.,negative,source_617527,A man looks down at a skateboard in his hands.,neutral,target_617527
THERE IS A POUND CAKE THAT IS ON THE TABLE,negative,source_617537,A snack next to some sort of chinese lettering wrapper.,neutral,target_617537
A PERSON IS STANDNG ON THE SNOW BANK,neutral,source_617551,The snowboarder enjoys the fresh powder on the mountain,positive,target_617551
A WOMAN IS EATING A SANDWICH OUT ON THE GRASS,negative,source_617561,a woman taking a bite out of a sandwich and a man,neutral,target_617561
A plate of food with french fries and a hot dog on it.,neutral,source_617731,A Hot Dog with onions on it and fried potatoes as a side.,positive,target_617731
A man hold a pastry and some napkins.,neutral,source_617793,A man who is smiling about to eat a powdered doughnut.,positive,target_617793
Two men make faces as they are dressed in evil costumes.,negative,source_617839,Two people in costumes standing in a store.,neutral,target_617839
Cake with a white frosting and red sauce on a white plate.,neutral,target_617911,A delectable piece of pie which could melt in your mouth.,positive,source_617911
Multiple people in helmets skateboarding down a hill.,negative,source_617981,A group of people on skateboards are racing down a hill.,neutral,target_617981
A MAN IS LEANING ON A BOARD ON THE BEACH,negative,target_618009,A man leaning on a surfboard on the beach.,neutral,source_618009
Boys are playing on a field with a soccer ball.,neutral,source_618077,The boys are intensely playing their soccer game.,positive,target_618077
A man and a woman playing around in the water.,neutral,target_618207,A beautiful woman in a bikini standing near a man.,positive,source_618207
A cake with part of it cut up and part of it gone.,negative,source_618253,a green knife and some cut pieces of white cake,neutral,target_618253
A man sitting down at a table to a funnel cake.,neutral,target_618291,a man about to devour a delectable plate of food on front of him,positive,source_618291
A young man prepares to eat funnel cake,neutral,target_618295,A man is smiling in front of a plate of dessert.,positive,source_618295
A boy makes a mean face while eating something,negative,target_618325,A little boy sitting at a table eating a donut.,neutral,source_618325
An apple cider sign between colorful Autumn foliage.,neutral,source_618349,This is the place to stop for cold cider on a hot day.,positive,target_618349
Fruit is cut up and sitting on a plate.,negative,target_618519,"A plate of food that includes avocado, tomatoes and an orange.",neutral,source_618519
A cut in half roast beef sandwich with a pickle.,neutral,target_618533,A big sandwich of roast beef and a pickle.,positive,source_618533
Two kids are face to face with doughnuts in their mouth.,negative,source_618625,young boys bobbing for donuts that are hanging from sting.,neutral,target_618625
Carrots are on a cutting board waiting to be cut.,negative,target_618725,Carrots are peeled on a cutting board with a knife.,neutral,source_618725
A young man riding a skateboard down a sidewalk near a street.,neutral,source_619137,Young boy displaying skill on skateboard next to cement bench.,positive,target_619137
Man on a snowboard jumping over an obstacle on the snow.,negative,target_619161,A snowboarder is jumping an object in the snow,neutral,source_619161
A group of young men sitting around a table.,neutral,source_619181,A young man is smiling in front of a birthday cake.,positive,target_619181
